Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2022,British Grand Prix,4,NOR,McLaren,6.0,6,6.0,1,0,0,1,2022-07-03
2022,British Grand Prix,1,VER,Red Bull Racing,2.0,2,7.0,1,0,0,1,2022-07-03
2022,British Grand Prix,47,MSC,Haas F1 Team,19.0,19,8.0,1,0,0,1,2022-07-03
2022,British Grand Prix,5,VET,Aston Martin,18.0,18,9.0,1,0,0,1,2022-07-03
2022,British Grand Prix,20,MAG,Haas F1 Team,17.0,17,10.0,1,0,0,1,2022-07-03
2022,British Grand Prix,18,STR,Aston Martin,20.0,20,11.0,1,0,0,0,2022-07-03
2022,British Grand Prix,6,LAT,Williams,10.0,10,12.0,1,0,0,0,2022-07-03
2022,British Grand Prix,3,RIC,McLaren,14.0,14,13.0,1,0,0,0,2022-07-03
2022,British Grand Prix,22,TSU,AlphaTauri,13.0,13,14.0,1,0,0,0,2022-07-03
2022,British Grand Prix,31,OCO,Alpine,15.0,15,15.0,0,0,0,0,2022-07-03
2022,British Grand Prix,10,GAS,AlphaTauri,11.0,11,16.0,0,0,0,0,2022-07-03
2022,British Grand Prix,77,BOT,Alfa Romeo,12.0,12,17.0,0,0,0,0,2022-07-03
2022,British Grand Prix,63,RUS,Mercedes,8.0,8,18.0,0,0,0,0,2022-07-03
2022,British Grand Prix,24,ZHO,Alfa Romeo,9.0,9,19.0,0,0,0,0,2022-07-03
2022,British Grand Prix,23,ALB,Williams,16.0,16,20.0,0,0,0,0,2022-07-03
2022,Austrian Grand Prix,16,LEC,Ferrari,2.0,2,1.0,1,1,1,1,2022-07-10
2022,Austrian Grand Prix,1,VER,Red Bull Racing,1.0,1,2.0,1,1,1,1,2022-07-10
2022,Austrian Grand Prix,44,HAM,Mercedes,8.0,9,3.0,1,1,1,1,2022-07-10
2022,Austrian Grand Prix,63,RUS,Mercedes,4.0,4,4.0,1,0,1,1,2022-07-10
2022,Austrian Grand Prix,31,OCO,Alpine,6.0,5,5.0,1,0,1,1,2022-07-10
2022,Austrian Grand Prix,47,MSC,Haas F1 Team,9.0,7,6.0,0,0,0,1,2022-07-10
2022,Austrian Grand Prix,4,NOR,McLaren,10.0,15,7.0,0,0,0,1,2022-07-10
2022,Austrian Grand Prix,20,MAG,Haas F1 Team,7.0,6,8.0,0,0,0,1,2022-07-10
2022,Austrian Grand Prix,3,RIC,McLaren,11.0,16,9.0,0,0,0,1,2022-07-10
2022,Austrian Grand Prix,14,ALO,Alpine,19.0,8,10.0,0,0,0,1,2022-07-10
2022,Austrian Grand Prix,77,BOT,Alfa Romeo,0.0,12,11.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,23,ALB,Williams,15.0,11,12.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,18,STR,Aston Martin,12.0,17,13.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,24,ZHO,Alfa Romeo,13.0,18,14.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,10,GAS,AlphaTauri,14.0,10,15.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,22,TSU,AlphaTauri,16.0,14,16.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,5,VET,Aston Martin,18.0,20,17.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,55,SAI,Ferrari,3.0,3,18.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,6,LAT,Williams,17.0,19,19.0,0,0,0,0,2022-07-10
2022,Austrian Grand Prix,11,PER,Red Bull Racing,5.0,13,20.0,0,0,0,0,2022-07-10
2022,French Grand Prix,1,VER,Red Bull Racing,2.0,2,1.0,1,1,1,1,2022-07-24
2022,French Grand Prix,44,HAM,Mercedes,4.0,4,2.0,1,1,1,1,2022-07-24
2022,French Grand Prix,63,RUS,Mercedes,6.0,6,3.0,1,1,1,1,2022-07-24
2022,French Grand Prix,11,PER,Red Bull Racing,3.0,3,4.0,1,0,1,1,2022-07-24
2022,French Grand Prix,55,SAI,Ferrari,19.0,9,5.0,1,0,1,1,2022-07-24
