race_id,season,location,driver_id,driver_code,team,resultposition,gridposition,avg_lap,median_lap,std_lap,best_lap,pit_count,avg_pit_loss,tyre_mix,avg_stint_length,nolaps,tracklength
6,2014,MonteCarlo,2,RIC,RedBull,3,3,84.32403846153845,80.767,11.089073647025293,79.252,1,26.584,2,39.5,78,3337.0
6,2014,MonteCarlo,3,ROS,Mercedes,1,1,84.20078205128206,80.36449999999999,11.70435476138915,79.425,1,24.672,2,39.5,78,3337.0
6,2014,MonteCarlo,4,MAG,McLaren,10,8,85.91925974025975,81.786,11.142335696511418,80.657,1,28.943,2,39.0,78,3337.0
6,2014,MonteCarlo,5,ALO,Ferrari,4,5,84.61683333333333,81.081,10.951232684475471,79.727,1,26.499,2,39.5,78,3337.0
6,2014,MonteCarlo,6,VER,ToroRosso,17,7,87.54226,81.91550000000001,12.285625665477719,81.083,2,22.4145,2,25.5,78,3337.0
6,2014,MonteCarlo,7,HUL,ForceIndia,5,11,85.56597402597403,82.085,10.026158228110406,80.767,1,25.714,2,39.0,78,3337.0
6,2014,MonteCarlo,8,KVY,ToroRosso,19,9,94.11439999999999,85.295,15.62262914421826,82.011,0,0.0,1,11.0,78,3337.0
6,2014,MonteCarlo,9,MAS,Williams,7,16,85.57768831168832,81.885,10.20581730817713,80.314,1,24.264,2,39.0,78,3337.0
6,2014,MonteCarlo,10,BUT,McLaren,6,12,85.56846753246754,81.958,9.639298780983168,81.047,1,25.992,2,39.0,78,3337.0
6,2014,MonteCarlo,11,RAI,Ferrari,12,6,86.06512987012987,81.491,12.79311448988607,78.479,3,27.620666666666665,2,19.5,78,3337.0
6,2014,MonteCarlo,12,VET,RedBull,20,4,120.44239999999999,119.505,25.47350997212594,94.569,1,66.065,2,3.0,78,3337.0
6,2014,MonteCarlo,13,SUT,Sauber,18,18,88.14452173913044,83.653,14.067609165188868,81.761,1,33.207,2,24.0,78,3337.0
6,2014,MonteCarlo,14,KOB,Caterham,13,20,87.81710666666666,84.279,8.924599246924098,82.425,2,25.2685,2,25.333333333333332,78,3337.0
6,2014,MonteCarlo,15,BOT,Williams,16,13,86.87867272727273,81.832,11.521160297236245,81.105,1,25.595,2,28.0,78,3337.0
6,2014,MonteCarlo,16,PER,ForceIndia,21,10,,,,,0,0.0,1,1.0,78,3337.0
6,2014,MonteCarlo,17,CHI,Marussia,14,19,88.47776,84.156,12.019803575586238,80.579,3,32.187666666666665,2,19.0,78,3337.0
6,2014,MonteCarlo,18,BIA,Marussia,9,21,85.78097402597405,82.692,9.313498108961653,81.254,1,32.658,2,39.0,78,3337.0
6,2014,MonteCarlo,19,ERI,Caterham,11,22,86.05720779220779,83.162,9.312001232616664,80.911,2,26.838,2,26.0,78,3337.0
6,2014,MonteCarlo,20,GUT,Sauber,15,17,86.55527118644066,82.124,10.658361777837104,81.146,1,25.906,2,30.0,78,3337.0
6,2014,MonteCarlo,22,GRO,LotusF1,8,14,85.79992207792208,83.269,8.994601659893789,80.979,2,25.6705,2,39.0,78,3337.0
7,2014,Montreal,1,HAM,Mercedes,17,2,87.21160869565219,80.332,15.140303269351072,78.942,2,23.985500000000002,2,15.666666666666666,70,4361.0
7,2014,Montreal,2,RIC,RedBull,1,6,85.04042857142856,80.17099999999999,12.73638419279264,78.64,2,23.44,2,23.666666666666668,70,4361.0
7,2014,Montreal,3,ROS,Mercedes,2,1,85.10094285714287,80.107,12.914022608727167,78.616,2,24.492,2,23.666666666666668,70,4361.0
7,2014,Montreal,4,MAG,McLaren,9,12,85.45834285714285,80.628,12.974085739630983,78.819,2,23.692999999999998,2,23.666666666666668,70,4361.0
7,2014,Montreal,5,ALO,Ferrari,6,7,85.25284285714284,80.5975,12.803695574569575,78.614,2,23.860999999999997,2,23.666666666666668,70,4361.0
7,2014,Montreal,6,VER,ToroRosso,8,8,85.44080000000001,80.6815,12.796758840776262,79.399,2,24.204,2,23.666666666666668,70,4361.0
7,2014,Montreal,7,HUL,ForceIndia,5,11,85.2239,80.537,12.740869095501122,78.936,1,23.902,2,35.5,70,4361.0
7,2014,Montreal,8,KVY,ToroRosso,16,15,88.43314893617021,81.46,15.018555659118205,79.978,2,25.4665,2,16.0,70,4361.0
